Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Channel,Amount
76,1196,9/21/2024,transfer,Branch,199765
77,847,7/26/2024,payment,Branch,6913
78,1065,4/30/2024,payment,ATM,6028
79,1087,5/17/2024,withdrawal,Online,28139
80,23,12/4/2024,deposit,Online,6554
81,360,3/28/2024,payment,Branch,5581
82,1099,10/9/2024,deposit,Branch,3372
83,560,1/28/2024,payment,ATM,8196
84,672,7/29/2024,payment,Branch,4438
85,1142,1/9/2024,withdrawal,ATM,103081
86,679,2/1/2024,transfer,ATM,1557
87,440,7/19/2024,transfer,Branch,2505
88,933,10/11/2024,deposit,Online,6071
89,7,11/25/2024,withdrawal,Branch,4737
90,1220,9/12/2024,withdrawal,Branch,134162
91,421,7/12/2024,withdrawal,Branch,3676
92,833,2/2/2024,payment,Online,23225
93,1217,3/20/2024,deposit,ATM,73498
94,559,11/12/2024,transfer,Branch,7054
95,1172,9/24/2024,transfer,Online,54792
96,1226,3/22/2024,deposit,ATM,88010
97,914,3/7/2024,transfer,Branch,15755
98,1007,9/27/2024,payment,ATM,25764
99,126,6/7/2024,transfer,ATM,2205
100,395,1/21/2024,payment,Online,8068
101,817,7/18/2024,withdrawal,Online,22697
102,881,7/10/2024,transfer,ATM,26585
103,576,7/25/2024,withdrawal,Branch,3557
104,325,6/23/2024,withdrawal,Online,6546
105,930,1/12/2024,deposit,Online,8280
106,1228,6/6/2024,payment,Online,108899
107,833,9/19/2024,deposit,ATM,11522
108,1055,2/25/2024,transfer,ATM,25946
109,837,12/23/2024,withdrawal,Online,20221
110,926,3/9/2024,payment,Branch,12864
111,443,12/10/2024,transfer,ATM,1508
112,75,12/17/2024,deposit,Online,5246
113,557,4/14/2024,withdrawal,ATM,4412
114,1179,4/9/2024,transfer,Branch,103077
115,363,12/28/2024,deposit,Online,5662
116,448,3/13/2024,deposit,ATM,4135
117,262,12/30/2024,payment,Branch,2049
118,125,3/4/2024,deposit,Branch,8142
119,911,5/3/2024,deposit,Branch,8508
120,245,9/9/2024,withdrawal,ATM,3743
121,542,11/25/2024,transfer,ATM,7135
122,485,7/27/2024,deposit,Branch,1142
123,122,2/12/2024,payment,Online,1758
124,125,2/18/2024,payment,Branch,6878
125,170,10/9/2024,deposit,ATM,7171
126,124,4/16/2024,deposit,ATM,3528
127,1059,2/24/2024,transfer,Online,21205
128,1111,10/8/2024,withdrawal,Branch,5670
129,646,1/7/2024,withdrawal,Branch,9083
130,786,6/19/2024,payment,Branch,14363
131,201,5/15/2024,transfer,Branch,8648
132,369,7/31/2024,deposit,Branch,2461
133,797,4/19/2024,payment,Online,24286
134,77,3/9/2024,deposit,ATM,6165
135,59,11/5/2024,deposit,ATM,5599
136,431,11/23/2024,transfer,ATM,9117
137,638,5/29/2024,withdrawal,ATM,9334
138,109,9/28/2024,payment,Online,7004
139,1008,1/14/2024,withdrawal,Online,29461
140,68,3/28/2024,withdrawal,ATM,3690
141,1093,11/4/2024,withdrawal,ATM,21876
142,1189,8/19/2024,transfer,Online,72951
143,305,8/2/2024,deposit,ATM,6032
144,674,1/19/2024,transfer,ATM,4680
145,365,10/1/2024,payment,Branch,9014
146,821,7/6/2024,deposit,Online,3404
147,343,9/9/2024,payment,Online,4393
148,947,1/24/2024,deposit,ATM,16266
149,899,3/6/2024,payment,ATM,26456
150,1133,4/8/2024,deposit,Branch,21051
151,762,7/3/2024,payment,Online,8657
152,341,1/14/2024,payment,ATM,1948
153,942,8/21/2024,deposit,Online,24443
154,383,2/21/2024,withdrawal,ATM,3987
155,1004,6/23/2024,transfer,ATM,10323
156,300,9/17/2024,withdrawal,Online,7541
157,139,2/25/2024,payment,Branch,9872
158,359,8/5/2024,withdrawal,Branch,8450
159,836,9/25/2024,transfer,Online,8909
160,483,2/29/2024,withdrawal,Online,1160
161,909,1/3/2024,payment,ATM,20170
162,1135,6/1/2024,withdrawal,Online,99812
163,866,10/8/2024,withdrawal,Online,23859
164,139,4/18/2024,withdrawal,Branch,1255
165,996,11/10/2024,deposit,ATM,14265
166,435,12/7/2024,transfer,Online,2178
167,509,11/6/2024,deposit,Branch,795
168,273,10/16/2024,deposit,Online,6533
169,1123,10/20/2024,withdrawal,ATM,11363
170,104,5/10/2024,withdrawal,Online,7923
171,1238,12/27/2024,payment,Branch,166722
172,762,7/11/2024,transfer,Branch,20766
173,787,11/5/2024,payment,ATM,23028
174,165,5/31/2024,withdrawal,Branch,9055
175,999,7/6/2024,payment,Branch,27674
176,520,5/7/2024,withdrawal,Online,9818
177,517,2/22/2024,transfer,ATM,9762
178,657,6/7/2024,withdrawal,ATM,8699
179,613,2/25/2024,withdrawal,ATM,3619
180,164,3/13/2024,payment,Online,5323
181,64,10/13/2024,deposit,Online,9739
182,1115,12/24/2024,deposit,Branch,22388
183,1141,3/20/2024,payment,Branch,133988
184,267,8/22/2024,payment,ATM,2428
185,1164,8/14/2024,withdrawal,Branch,178279
186,246,6/7/2024,withdrawal,Branch,4037
187,395,6/15/2024,transfer,Branch,4110
188,476,9/23/2024,withdrawal,Branch,4497
189,977,1/9/2024,transfer,ATM,20387
190,1208,7/27/2024,deposit,ATM,100356
191,1044,10/16/2024,payment,Online,24778
192,558,10/8/2024,withdrawal,Online,990
193,1018,7/2/2024,withdrawal,Online,21349
194,883,5/16/2024,deposit,Branch,23656
195,147,10/20/2024,payment,Online,6765
196,666,11/18/2024,deposit,ATM,7167
197,620,10/14/2024,payment,Online,744
198,820,12/10/2024,withdrawal,ATM,5219
199,864,9/27/2024,transfer,Branch,28451
200,582,3/2/2024,transfer,ATM,6018
201,1023,5/16/2024,payment,Branch,27467
202,695,5/3/2024,transfer,Branch,2940
203,1126,11/16/2024,deposit,ATM,81277
204,1240,9/1/2024,withdrawal,ATM,53055
205,407,12/7/2024,payment,Branch,606
206,399,7/18/2024,deposit,ATM,6900
207,715,7/17/2024,withdrawal,ATM,2413
208,704,12/8/2024,withdrawal,Branch,1830
209,761,1/14/2024,deposit,ATM,5986
210,499,9/27/2024,deposit,Branch,6647
211,974,5/22/2024,deposit,Online,23243
212,82,6/13/2024,deposit,Online,1698
213,604,3/31/2024,withdrawal,Branch,7181
214,772,11/24/2024,payment,Branch,16526
215,903,1/26/2024,transfer,ATM,6707
216,365,5/18/2024,deposit,Online,5084
217,163,8/14/2024,transfer,Online,7719
218,1072,1/30/2024,payment,ATM,7318
219,511,7/29/2024,withdrawal,Branch,7106
220,116,6/25/2024,deposit,Branch,2747
221,941,2/17/2024,payment,Branch,28170
222,337,7/15/2024,deposit,ATM,8268
223,881,12/24/2024,deposit,Online,20527
224,737,7/22/2024,transfer,ATM,872
225,840,4/11/2024,withdrawal,Online,8398
226,147,2/15/2024,withdrawal,Online,4302
227,443,3/28/2024,withdrawal,Online,6363
228,837,2/25/2024,payment,Branch,15150
229,1037,8/25/2024,deposit,ATM,4593
230,943,3/25/2024,deposit,ATM,29837
231,287,1/1/2024,payment,ATM,3176
232,720,8/4/2024,withdrawal,Branch,4085
233,1138,6/11/2024,withdrawal,Online,185540
234,480,10/6/2024,transfer,Online,8622
235,22,4/7/2024,withdrawal,Online,2486
236,683,12/7/2024,transfer,Online,1717
237,906,10/30/2024,deposit,Branch,10670
238,320,10/23/2024,transfer,ATM,3263
239,126,7/21/2024,transfer,Branch,2807
240,277,2/18/2024,payment,Online,1204
241,1228,1/28/2024,withdrawal,Online,84648
242,194,12/15/2024,transfer,ATM,3856
243,696,8/28/2024,deposit,ATM,7026
244,57,9/12/2024,withdrawal,ATM,8089
245,1187,1/8/2024,withdrawal,Branch,29707
246,19,9/8/2024,withdrawal,ATM,2011
247,264,5/13/2024,payment,ATM,3668
248,794,10/6/2024,transfer,Branch,20760
249,113,12/17/2024,payment,ATM,8549
250,542,4/28/2024,withdrawal,ATM,7479
251,647,3/31/2024,transfer,Online,8942
252,579,6/22/2024,withdrawal,Branch,977
253,1089,8/18/2024,deposit,Online,26584
254,25,11/21/2024,payment,Online,9422
255,1,8/20/2024,payment,Branch,2449
256,911,7/25/2024,payment,ATM,4001
257,141,9/22/2024,withdrawal,ATM,7136
258,648,1/2/2024,payment,Branch,6481
259,188,2/13/2024,withdrawal,ATM,2853
260,1152,11/18/2024,transfer,Online,68696
261,201,2/14/2024,payment,Branch,3108
262,1151,7/6/2024,deposit,Online,182898
263,257,8/17/2024,deposit,Branch,9332
264,547,7/26/2024,withdrawal,Branch,4840
265,194,9/24/2024,withdrawal,ATM,1693
266,703,3/12/2024,transfer,Branch,9849
267,1128,8/21/2024,deposit,Branch,114315
268,802,9/30/2024,transfer,ATM,21353
269,942,11/15/2024,transfer,Branch,16088
270,414,3/22/2024,withdrawal,ATM,764
271,1099,6/18/2024,deposit,Branch,29881
272,910,4/27/2024,payment,Branch,24668
273,188,9/16/2024,transfer,Branch,4608
274,45,6/1/2024,transfer,Branch,2629
275,83,10/10/2024,deposit,Branch,8891
276,1147,5/25/2024,transfer,Online,32023
277,358,9/16/2024,payment,ATM,9440
278,1090,12/1/2024,payment,ATM,24782
279,936,4/1/2024,withdrawal,Branch,13696
280,375,8/17/2024,payment,Online,7080
281,162,10/3/2024,withdrawal,ATM,3711
282,1212,8/19/2024,transfer,Online,171371
283,322,11/10/2024,deposit,Branch,1777
284,450,9/10/2024,payment,Online,8059
285,1037,3/17/2024,payment,Branch,19759
286,184,3/19/2024,withdrawal,Online,8646
287,111,10/22/2024,withdrawal,Online,8956
288,508,11/25/2024,transfer,Branch,1125
289,295,1/1/2024,payment,Branch,9091
290,904,12/15/2024,withdrawal,Online,8102
291,1239,12/22/2024,transfer,ATM,23597
292,974,7/3/2024,payment,Online,23743
293,632,12/17/2024,payment,Branch,5937
294,1051,1/16/2024,deposit,ATM,3255
295,733,10/4/2024,withdrawal,Branch,5080
296,321,7/10/2024,transfer,Online,6113
297,913,9/25/2024,payment,Online,7981
298,437,4/10/2024,withdrawal,Online,6956
299,781,11/9/2024,transfer,ATM,29081
300,1077,5/6/2024,withdrawal,Branch,22915
301,726,10/21/2024,transfer,Online,9227
302,31,4/9/2024,deposit,Online,4140
303,337,3/25/2024,transfer,ATM,7133
304,183,4/5/2024,transfer,Branch,5871
305,1047,4/1/2024,transfer,Online,17836
306,544,10/21/2024,withdrawal,Online,3247
307,1098,4/23/2024,withdrawal,Online,21304
308,1034,11/7/2024,transfer,ATM,19358
309,660,9/15/2024,deposit,Branch,4162
310,160,7/8/2024,transfer,ATM,6909
311,1038,9/7/2024,transfer,Online,23162
312,1202,6/15/2024,deposit,Branch,156455
313,412,9/6/2024,transfer,Online,5750
314,1012,1/4/2024,withdrawal,Online,9346
315,53,12/11/2024,deposit,ATM,2465
316,408,11/2/2024,payment,ATM,8384
317,847,4/11/2024,transfer,Branch,3536
318,1046,5/17/2024,deposit,ATM,9733
319,1054,7/5/2024,withdrawal,Online,29478
320,703,2/15/2024,transfer,Online,5539
321,260,2/25/2024,transfer,Online,7933
322,1229,2/24/2024,withdrawal,Branch,63030
323,1083,7/6/2024,withdrawal,Online,7685
324,776,9/25/2024,deposit,ATM,17592
325,1036,8/6/2024,payment,Online,28175
326,850,1/9/2024,transfer,ATM,3500
327,354,5/25/2024,deposit,ATM,2287
328,1099,6/30/2024,withdrawal,Online,27438
329,873,11/11/2024,deposit,Branch,14547
330,991,9/25/2024,payment,Branch,21389
331,1018,11/5/2024,withdrawal,Online,3970
332,1178,5/19/2024,transfer,ATM,11763
333,1120,9/20/2024,transfer,Online,9700
334,294,3/11/2024,transfer,Branch,3167
335,209,8/1/2024,deposit,Online,7514
336,1112,10/25/2024,payment,Online,27327
337,818,8/14/2024,transfer,Online,19659
338,390,3/11/2024,payment,Branch,3245
339,325,9/18/2024,transfer,Branch,6035
340,940,5/23/2024,transfer,Branch,23932
341,889,8/4/2024,transfer,Online,21278
342,1181,11/10/2024,transfer,ATM,196823
343,668,3/6/2024,transfer,Branch,8725
344,633,2/12/2024,payment,Online,2444
345,577,3/10/2024,deposit,ATM,916
346,137,3/20/2024,transfer,Online,1202
347,428,10/27/2024,withdrawal,ATM,4261
348,612,3/8/2024,deposit,Online,4373
349,911,2/5/2024,withdrawal,ATM,12399
350,819,6/23/2024,payment,ATM,12616
351,141,4/14/2024,payment,Branch,9048
352,1107,4/3/2024,deposit,Online,26187
353,177,5/25/2024,payment,Online,5468
354,198,3/14/2024,payment,Branch,8538
355,624,8/4/2024,payment,Branch,4138
356,691,5/29/2024,payment,ATM,7726
357,401,3/7/2024,transfer,Branch,604
358,471,7/7/2024,transfer,ATM,3247
359,218,9/26/2024,withdrawal,ATM,1640
360,929,10/5/2024,deposit,Branch,25185
361,632,4/7/2024,deposit,ATM,2690
362,951,11/6/2024,withdrawal,Branch,8559
363,906,11/16/2024,transfer,Branch,2232
364,175,1/31/2024,payment,Branch,2017
365,23,2/16/2024,withdrawal,Online,632
366,235,9/7/2024,withdrawal,ATM,4799
367,1037,10/10/2024,payment,Online,25512
368,1125,9/29/2024,withdrawal,Online,16350
369,929,9/22/2024,deposit,Branch,15239
370,523,3/31/2024,withdrawal,Online,7971
371,431,8/25/2024,transfer,Online,8365
372,793,7/4/2024,transfer,Online,26472
373,533,7/13/2024,withdrawal,Branch,2722
374,979,6/15/2024,withdrawal,Branch,3071
375,810,9/18/2024,payment,Online,4956
376,913,10/10/2024,withdrawal,Branch,23550
377,1125,7/19/2024,deposit,Branch,36804
378,871,8/13/2024,deposit,Branch,7952
379,540,3/30/2024,deposit,Online,8180
380,1024,4/20/2024,withdrawal,Online,24527
381,227,10/16/2024,withdrawal,ATM,4059
382,873,4/3/2024,withdrawal,ATM,12676
383,892,10/17/2024,withdrawal,Branch,20895
384,1037,3/28/2024,deposit,Branch,15498
385,210,6/16/2024,deposit,Branch,7497
386,741,4/30/2024,withdrawal,ATM,5467
387,397,6/15/2024,transfer,Branch,3228
388,1124,10/22/2024,withdrawal,Online,74099
389,31,6/6/2024,transfer,Online,9608
390,898,9/7/2024,payment,Branch,6002
391,649,4/22/2024,withdrawal,Online,8578
392,329,5/6/2024,deposit,Branch,5248
393,1190,5/13/2024,transfer,Branch,97195
394,952,9/12/2024,deposit,ATM,28567
395,1124,11/5/2024,payment,ATM,127132
396,621,10/19/2024,withdrawal,Online,3560
397,1197,3/23/2024,deposit,Online,28319
398,162,12/7/2024,payment,Branch,4538
399,776,2/27/2024,withdrawal,Online,18308
400,274,3/11/2024,withdrawal,ATM,5855
401,1027,1/15/2024,deposit,ATM,6890
402,1052,7/5/2024,payment,Branch,27992
403,326,10/7/2024,withdrawal,ATM,1389
404,940,1/23/2024,transfer,Branch,3233
405,1173,11/6/2024,payment,Branch,138174
406,540,9/16/2024,payment,Online,8748
407,488,12/20/2024,transfer,Branch,3950
408,822,7/1/2024,withdrawal,ATM,18853
409,1089,9/30/2024,payment,ATM,22887
410,356,4/13/2024,deposit,Online,1162
411,235,4/30/2024,payment,Branch,5449
412,227,10/20/2024,transfer,ATM,1843
413,49,2/4/2024,transfer,ATM,8040
414,118,10/19/2024,deposit,ATM,3941
415,54,11/25/2024,withdrawal,Branch,2944
416,565,12/5/2024,deposit,ATM,6205
417,1068,4/11/2024,payment,Online,11921
418,53,4/8/2024,deposit,Branch,8878
419,558,1/3/2024,payment,Online,3716
420,1126,4/17/2024,payment,ATM,31665
421,868,2/28/2024,withdrawal,Online,21945
422,398,11/20/2024,withdrawal,Branch,1293
423,1162,2/29/2024,withdrawal,ATM,49790
424,675,12/17/2024,payment,Online,2434
425,387,12/4/2024,withdrawal,ATM,8144
426,111,11/6/2024,deposit,ATM,2386
427,614,7/14/2024,payment,ATM,2346
428,17,4/2/2024,deposit,ATM,2621
429,1206,1/17/2024,payment,ATM,171876
430,884,6/24/2024,payment,ATM,25691
431,541,11/14/2024,withdrawal,ATM,3743
432,171,10/19/2024,withdrawal,Online,5310
433,409,6/21/2024,withdrawal,Branch,6730
434,740,12/4/2024,withdrawal,Online,719
435,1212,12/6/2024,transfer,Branch,180557
436,858,3/17/2024,transfer,ATM,5395
437,230,2/16/2024,transfer,ATM,2145
438,119,12/15/2024,payment,Branch,9648
439,1180,3/12/2024,transfer,ATM,147577
440,784,12/6/2024,transfer,ATM,20888
441,465,11/1/2024,transfer,Online,2959
442,104,1/9/2024,withdrawal,Branch,2610
443,698,6/28/2024,payment,ATM,6508
444,175,4/19/2024,transfer,ATM,520
445,745,1/9/2024,deposit,ATM,8635
446,1158,3/1/2024,withdrawal,Online,128943
447,665,8/5/2024,transfer,Branch,3625
448,33,10/3/2024,transfer,Online,5851
449,55,3/7/2024,withdrawal,ATM,5528
450,519,2/8/2024,withdrawal,ATM,4749
451,756,9/3/2024,deposit,Online,2807
452,12,7/4/2024,withdrawal,Online,2517
453,720,10/12/2024,payment,Online,4281
454,555,3/26/2024,deposit,Online,1488
455,373,8/8/2024,payment,Branch,1898
456,484,7/30/2024,withdrawal,ATM,866
457,973,5/24/2024,deposit,Online,6144
458,623,5/13/2024,withdrawal,Branch,5733
459,307,4/23/2024,transfer,ATM,624
460,457,1/31/2024,deposit,ATM,4591
461,160,7/26/2024,payment,Branch,6450
462,331,7/7/2024,payment,Online,7896
463,776,2/3/2024,transfer,Online,22411
464,225,7/9/2024,transfer,Online,6202
465,983,3/29/2024,withdrawal,Online,29639
466,729,2/24/2024,withdrawal,Online,8357
467,1069,8/10/2024,deposit,ATM,17130
468,1238,10/11/2024,deposit,ATM,21566
469,1083,9/20/2024,deposit,ATM,28124
470,644,1/14/2024,payment,Branch,3895
471,616,2/21/2024,payment,Online,4265
472,195,2/16/2024,payment,ATM,5024
473,489,9/21/2024,deposit,Branch,7443
474,157,9/21/2024,deposit,Branch,715
475,610,8/17/2024,deposit,ATM,6500
476,412,2/25/2024,transfer,Branch,999
477,1229,8/25/2024,deposit,ATM,25938
478,1103,1/22/2024,payment,Online,18658
479,1148,5/6/2024,deposit,Online,36651
480,471,6/19/2024,deposit,ATM,4255
481,1242,7/3/2024,transfer,Online,85425
482,516,4/12/2024,payment,ATM,5419
483,1128,12/26/2024,withdrawal,ATM,39938
484,393,10/16/2024,payment,ATM,785
485,631,9/29/2024,transfer,Online,6216
486,608,12/26/2024,payment,Branch,7478
487,980,9/11/2024,deposit,ATM,10315
488,434,10/14/2024,deposit,Online,2474
489,1167,12/9/2024,withdrawal,Branch,62157
490,540,3/21/2024,payment,Online,7095
491,278,7/20/2024,payment,ATM,7667
492,233,6/29/2024,deposit,Branch,1793
493,1114,3/11/2024,payment,ATM,9882
494,1223,1/30/2024,transfer,Online,18410
495,362,8/5/2024,deposit,Online,7296
496,26,11/16/2024,deposit,ATM,5912
497,1049,2/29/2024,deposit,Online,28053
498,507,12/7/2024,payment,ATM,8456
499,267,1/20/2024,deposit,Branch,4633
500,461,10/26/2024,withdrawal,Branch,4803
501,456,2/4/2024,transfer,Branch,9544
502,1092,6/10/2024,withdrawal,Branch,2099
503,1007,2/3/2024,transfer,ATM,25190
504,863,5/10/2024,deposit,Branch,3385
505,491,11/27/2024,payment,Online,5376
506,1073,11/6/2024,payment,Branch,27668
507,564,11/27/2024,deposit,ATM,4164
508,1126,10/29/2024,payment,Branch,131437
509,216,7/31/2024,payment,Branch,2470
510,559,5/29/2024,deposit,Online,9618
511,159,2/20/2024,withdrawal,ATM,6758
512,489,5/26/2024,deposit,Online,8445
513,686,10/19/2024,transfer,ATM,8362
514,794,3/30/2024,transfer,Online,9644
515,5,4/17/2024,transfer,Branch,3498
516,361,2/28/2024,payment,ATM,9813
517,459,12/30/2024,transfer,ATM,1597
518,248,12/4/2024,withdrawal,ATM,7558
519,946,8/27/2024,deposit,Branch,9023
520,422,10/3/2024,withdrawal,ATM,8048
521,15,7/29/2024,deposit,ATM,1958
522,736,11/18/2024,transfer,ATM,949
523,1146,2/12/2024,withdrawal,Online,153064
524,277,9/19/2024,payment,ATM,9864
525,453,2/12/2024,payment,ATM,2334
526,598,9/14/2024,transfer,Branch,9306
527,446,1/16/2024,deposit,Branch,8826
528,210,5/13/2024,transfer,Branch,7037
529,714,3/23/2024,deposit,Online,2764
530,302,9/24/2024,withdrawal,Branch,6333
531,3,9/16/2024,transfer,Online,7714
532,990,10/3/2024,withdrawal,ATM,2377
533,1117,1/14/2024,transfer,Branch,28603
534,520,8/2/2024,payment,Online,1267
535,493,12/7/2024,deposit,ATM,8254
536,620,7/13/2024,deposit,Online,3595
537,1185,7/25/2024,deposit,Branch,166154
538,331,3/21/2024,payment,Branch,1876
539,333,3/25/2024,payment,Branch,4930
540,50,3/18/2024,payment,Branch,8768
541,863,7/19/2024,payment,Branch,26646
542,272,5/16/2024,deposit,Branch,1319
543,580,4/27/2024,deposit,Online,6310
544,560,10/24/2024,payment,ATM,1948
545,696,8/6/2024,deposit,Online,6309
546,1114,11/24/2024,withdrawal,ATM,20082
547,446,5/25/2024,withdrawal,Online,8487
548,1017,7/12/2024,transfer,ATM,25686
549,1163,10/24/2024,payment,ATM,130649
550,357,11/23/2024,deposit,Branch,5298
551,274,12/25/2024,transfer,Branch,7408
552,1043,7/15/2024,withdrawal,Branch,14331
553,311,11/9/2024,payment,ATM,4838
554,870,8/19/2024,transfer,ATM,10704
555,886,8/15/2024,deposit,ATM,4122
556,154,6/22/2024,deposit,Online,9688
557,620,3/22/2024,transfer,Branch,2832
558,883,5/4/2024,payment,Online,26905
559,797,10/6/2024,withdrawal,ATM,19780
560,125,10/20/2024,withdrawal,Online,8733
561,619,7/23/2024,withdrawal,Branch,9259
562,245,8/11/2024,withdrawal,Online,1173
563,848,9/2/2024,withdrawal,Branch,14949
564,450,11/4/2024,deposit,Online,7793
565,930,11/15/2024,deposit,ATM,2722
566,520,2/7/2024,withdrawal,ATM,5413
567,1165,5/7/2024,transfer,Branch,163746
568,362,4/14/2024,payment,ATM,3174
569,8,4/19/2024,payment,Branch,4311
570,478,1/1/2024,transfer,ATM,7178
571,495,1/23/2024,transfer,Online,4573
572,833,9/18/2024,deposit,Online,20228
573,1063,12/24/2024,deposit,ATM,12893
574,593,5/22/2024,transfer,Online,6403
575,187,5/14/2024,deposit,Branch,2869
576,754,8/7/2024,transfer,Branch,2095
577,93,4/8/2024,transfer,Online,1017
578,86,10/17/2024,payment,Online,962
579,1068,2/2/2024,payment,Branch,29693
580,137,2/3/2024,withdrawal,Branch,8433
581,421,10/31/2024,deposit,Branch,4738
582,74,1/2/2024,payment,Online,9364
583,1180,3/15/2024,deposit,Online,154481
584,171,8/14/2024,transfer,Online,1804
585,170,2/23/2024,withdrawal,Online,8970
586,872,4/4/2024,payment,Branch,22399
587,322,5/15/2024,payment,Branch,6669
588,456,11/12/2024,withdrawal,Branch,9321
589,944,7/21/2024,payment,Online,21063
590,790,7/14/2024,transfer,Branch,18604
591,613,6/16/2024,transfer,Branch,1979
592,1179,6/9/2024,deposit,ATM,78476
593,889,11/10/2024,withdrawal,Branch,6067
594,349,1/30/2024,payment,Online,3458
595,1197,12/22/2024,payment,Branch,74591
596,10,6/28/2024,deposit,ATM,1228
597,740,2/10/2024,payment,Branch,8273
598,667,4/26/2024,payment,ATM,1513
599,546,6/9/2024,withdrawal,Online,7401
600,129,2/21/2024,transfer,Online,2560
601,601,11/2/2024,deposit,Online,6601
602,605,1/4/2024,deposit,ATM,8454
603,327,6/3/2024,withdrawal,Online,9878
604,980,10/24/2024,transfer,ATM,19378
605,404,5/30/2024,payment,Online,1269
606,629,10/12/2024,payment,Online,4988
607,718,7/29/2024,deposit,Online,8651
608,1041,8/11/2024,transfer,ATM,27859
609,274,6/8/2024,transfer,Online,735
610,685,9/7/2024,payment,Online,6466
611,116,1/15/2024,payment,Online,9306
612,861,6/12/2024,withdrawal,ATM,27166
613,693,11/7/2024,deposit,Online,8797
614,1115,5/4/2024,transfer,Online,6287
615,1106,7/26/2024,payment,ATM,28179
616,324,8/2/2024,transfer,Branch,3519
617,961,1/28/2024,deposit,Online,11476
618,114,11/5/2024,transfer,ATM,5972
619,1082,1/5/2024,payment,ATM,3759
620,154,3/1/2024,withdrawal,ATM,3559
621,315,4/2/2024,payment,Online,5318
622,1065,12/21/2024,payment,Online,17675
623,105,3/9/2024,transfer,Branch,7073
624,1217,7/18/2024,deposit,ATM,27650
625,354,3/31/2024,transfer,Branch,1795
626,1016,2/17/2024,transfer,Branch,5274
627,733,9/30/2024,payment,ATM,4615
628,709,10/1/2024,deposit,ATM,600
629,651,10/28/2024,payment,Online,8275
